Title,Release,Genre,Rating,Runtime,Revenue,Decade
Sleuth,1972,Mystery,8.0,138,4.081254,1970
The Last Picture Show,1971,Drama,8.0,118,29.133,1970
Fiddler on the Roof,1971,Drama,8.0,181,80.5,1970
Il conformista,1970,Drama,8.0,113,0.54194,1970
Butch Cassidy and the Sundance Kid,1969,Biography,8.0,110,102.308889,1960
Rosemary's Baby,1968,Drama,8.0,137,,1960
Planet of the Apes,1968,Adventure,8.0,112,33.395426,1960
The Graduate,1967,Comedy,8.0,106,104.945305,1960
Who's Afraid of Virginia Woolf?,1966,Drama,8.0,131,,1960
The Sound of Music,1965,Biography,8.0,172,163.214286,1960
Doctor Zhivago,1965,Drama,8.0,197,111.722,1960
Per un pugno di dollari,1964,Action,8.0,99,14.5,1960
8½,1963,Drama,8.0,138,0.05069,1960
Vivre sa vie: Film en douze tableaux,1962,Drama,8.0,80,,1960
The Hustler,1961,Drama,8.0,134,8.284,1960
La dolce vita,1960,Comedy,8.0,174,19.516,1960
Rio Bravo,1959,Action,8.0,141,12.535,1950
Anatomy of a Murder,1959,Crime,8.0,161,11.9,1950
Touch of Evil,1958,Crime,8.0,95,2.237659,1950
Cat on a Hot Tin Roof,1958,Drama,8.0,108,17.570324,1950
Sweet Smell of Success,1957,Drama,8.0,96,,1950
The Killing,1956,Crime,8.0,84,,1950
The Night of the Hunter,1955,Crime,8.0,92,0.654,1950
La Strada,1954,Drama,8.0,108,,1950
Les diaboliques,1955,Crime,8.0,117,,1950
Stalag 17,1953,Comedy,8.0,120,,1950
Roman Holiday,1953,Comedy,8.0,118,,1950
A Streetcar Named Desire,1951,Drama,8.0,122,8.0,1950
In a Lonely Place,1950,Drama,8.0,94,,1950
Kind Hearts and Coronets,1949,Comedy,8.0,106,,1940
Rope,1948,Crime,8.0,80,,1940
Out of the Past,1947,Crime,8.0,97,,1940
Brief Encounter,1945,Drama,8.0,86,,1940
Laura,1944,Drama,8.0,88,4.36,1940
The Best Years of Our Lives,1946,Drama,8.0,170,23.65,1940
Arsenic and Old Lace,1942,Comedy,8.0,118,,1940
The Maltese Falcon,1941,Film-Noir,8.0,100,2.10806,1940
The Grapes of Wrath,1940,Drama,8.0,129,0.055,1940
The Wizard of Oz,1939,Adventure,8.0,102,2.07602,1930
La règle du jeu,1939,Comedy,8.0,110,,1930
The Thin Man,1934,Comedy,8.0,91,,1930
All Quiet on the Western Front,1930,Drama,8.0,152,3.27,1930
Bronenosets Potemkin,1925,Drama,8.0,75,0.05097,1920
Knives Out,2019,Comedy,7.9,130,165.359751,2010
Dil Bechara,2020,Comedy,7.9,101,,2020
Manbiki kazoku,2018,Crime,7.9,121,3.313513,2010
Marriage Story,2019,Comedy,7.9,137,2.0,2010
Call Me by Your Name,2017,Drama,7.9,132,18.095701,2010
"I, Daniel Blake",2016,Drama,7.9,100,0.258168,2010
Isle of Dogs,2018,Animation,7.9,101,32.015231,2010
Hunt for the Wilderpeople,2016,Adventure,7.9,101,5.202582,2010
